county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,14,2,0,16
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,12,0,0,12
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,12,0,0,12
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,36,4,0,40
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Write-in,,1,0,0,1
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Member of the State Board of Education,,Under Vote Count,,157,10,0,167
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,95,16,0,111
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,89,13,0,102
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,397,75,0,472
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,363,69,0,432
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,25,3,0,28
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,27,2,0,29
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Write-in,,1,0,0,1
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,167,14,0,181
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,91,16,0,107
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,81,13,0,94
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,390,73,0,463
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,374,70,0,444
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,15,2,0,17
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,19,1,0,20
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,14,4,0,18
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,Green,7,1,0,8
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Write-in,,3,0,0,3
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Trustee of Michigan State University,,Under Vote Count,,170,12,0,182
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,Democrat,81,13,0,94
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,Democrat,86,13,0,99
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,Republican,376,71,0,447
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,Republican,374,69,0,443
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,Libertarian,6,0,0,6
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,17,1,0,18
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,Green,7,3,0,10
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,Working Class,29,4,0,33
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,Natural Law,10,2,0,12
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Write-in,,2,0,0,2
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Governor of Wayne State University,,Under Vote Count,,176,16,0,192
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Gregory T. Mick,No Party Affiliation,154,41,0,195
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Al Swanson,No Party Affiliation,157,26,0,183
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Write-in,,6,0,0,6
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Prosecuting Attorney,,Under Vote Count,,265,29,0,294
Lake,"Chase Township, Precinct 1",County Sheriff,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Sheriff,,Rich Martin,Republican,449,82,0,531
Lake,"Chase Township, Precinct 1",County Sheriff,,Joseph Umbreit,No Party Affiliation,78,12,0,90
Lake,"Chase Township, Precinct 1",County Sheriff,,Write-in,,2,0,0,2
Lake,"Chase Township, Precinct 1",County Sheriff,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Sheriff,,Under Vote Count,,53,2,0,55
Lake,"Chase Township, Precinct 1",County Clerk and Register of Deeds,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Clerk and Register of Deeds,,Patti Pacola,Republican,440,89,0,529
Lake,"Chase Township, Precinct 1",County Clerk and Register of Deeds,,Ryan Weston Ducati,No Party Affiliation,65,3,0,68
Lake,"Chase Township, Precinct 1",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Clerk and Register of Deeds,,Under Vote Count,,77,4,0,81
Lake,"Chase Township, Precinct 1",County Treasurer,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Treasurer,,Kellie Allen,Republican,473,87,0,560
Lake,"Chase Township, Precinct 1",County Treasurer,,Write-in,,4,0,0,4
Lake,"Chase Township, Precinct 1",County Treasurer,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Treasurer,,Under Vote Count,,105,9,0,114
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Jim Fri,Democrat,107,16,0,123
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Don Divis,Republican,431,78,0,509
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Write-in,,2,0,0,2
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Road Commissioner,,Under Vote Count,,42,2,0,44
Lake,"Chase Township, Precinct 1",County Surveyor,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",County Surveyor,,Patrick Johnson,Republican,478,89,0,567
Lake,"Chase Township, Precinct 1",County Surveyor,,Write-in,,5,0,0,5
Lake,"Chase Township, Precinct 1",County Surveyor,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Surveyor,,Under Vote Count,,99,7,0,106
Lake,"Chase Township, Precinct 1",County Commissioner 2nd District,,Ballots Cast,,432,68,0,500
Lake,"Chase Township, Precinct 1",County Commissioner 2nd District,,Howard Lodholtz,Republican,360,63,0,423
Lake,"Chase Township, Precinct 1",County Commissioner 2nd District,,Write-in,,2,0,0,2
Lake,"Chase Township, Precinct 1",County Commissioner 2nd District,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Commissioner 2nd District,,Under Vote Count,,70,5,0,75
Lake,"Chase Township, Precinct 1",County Commissioner 3rd District,,Ballots Cast,,150,28,0,178
Lake,"Chase Township, Precinct 1",County Commissioner 3rd District,,Kristine Raymond,Republican,115,26,0,141
Lake,"Chase Township, Precinct 1",County Commissioner 3rd District,,Write-in,,1,0,0,1
Lake,"Chase Township, Precinct 1",County Commissioner 3rd District,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",County Commissioner 3rd District,,Under Vote Count,,34,2,0,36
Lake,"Chase Township, Precinct 1",Chase Township Supervisor,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Chase Township Supervisor,,Phillip Lodholtz,Republican,467,89,0,556
Lake,"Chase Township, Precinct 1",Chase Township Supervisor,,Write-in,,4,0,0,4
Lake,"Chase Township, Precinct 1",Chase Township Supervisor,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Chase Township Supervisor,,Under Vote Count,,111,7,0,118
Lake,"Chase Township, Precinct 1",Chase Township Clerk,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Chase Township Clerk,,Amy Patterson,Republican,470,90,0,560
Lake,"Chase Township, Precinct 1",Chase Township Clerk,,Write-in,,5,0,0,5
Lake,"Chase Township, Precinct 1",Chase Township Clerk,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Chase Township Clerk,,Under Vote Count,,107,6,0,113
Lake,"Chase Township, Precinct 1",Chase Township Treasurer,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Chase Township Treasurer,,Janel Eichenberg,Republican,480,90,0,570
Lake,"Chase Township, Precinct 1",Chase Township Treasurer,,Write-in,,4,0,0,4
Lake,"Chase Township, Precinct 1",Chase Township Treasurer,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Chase Township Treasurer,,Under Vote Count,,98,6,0,104
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Joyce Beach,Republican,420,83,0,503
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Sarah Nyp,Republican,413,78,0,491
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Write-in,,2,0,0,2
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Chase Township Trustee,,Under Vote Count,,329,31,0,360
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Andrew Fink,,241,49,0,290
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Kimberly Ann Thomas,,166,29,0,195
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Write-in,,10,0,0,10
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Justice of Supreme Court,,Under Vote Count,,165,18,0,183
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Kyra Harris Bolden,,181,33,0,214
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Patrick William O'Grady,,226,41,0,267
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Write-in,,13,0,0,13
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Justice of Supreme Court Partial Term,,Under Vote Count,,162,22,0,184
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District 6 Year Term,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District 6 Year Term,,Stephen L. Borrello,,326,66,0,392
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District 6 Year Term,,Write-in,,16,0,0,16
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District 6 Year Term,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District 6 Year Term,,Under Vote Count,,240,30,0,270
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,326,61,0,387
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Write-in,,15,0,0,15
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Under Vote Count,,241,35,0,276
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,Floyd Brown,,129,17,0,146
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,David M. Glancy,,261,55,0,316
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,Write-in,,14,0,0,14
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Judge of Probate Court,,Under Vote Count,,178,24,0,202
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Shanna Avery,,260,54,0,314
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Joyce Beach,,209,53,0,262
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Roberta J. Case,,176,43,0,219
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Sarah Nyp,,193,44,0,237
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Bridgette Miniear,,192,45,0,237
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Write-in,,24,1,0,25
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Chase Township Library Board Director,,Under Vote Count,,2438,336,0,2774
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Sherry Westra Franklin,,184,41,0,225
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Spencer Mund,,213,47,0,260
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Nicole Quinn,,198,44,0,242
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Nate Vanderhoof,,225,49,0,274
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Write-in,,13,0,0,13
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Reed City School District Board Member,,Under Vote Count,,1495,203,0,1698
Lake,"Chase Township, Precinct 1",Lake County Veterans Affairs Proposal,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Lake County Veterans Affairs Proposal,,Yes,,348,58,0,406
Lake,"Chase Township, Precinct 1",Lake County Veterans Affairs Proposal,,No,,142,27,0,169
Lake,"Chase Township, Precinct 1",Lake County Veterans Affairs Proposal,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Lake County Veterans Affairs Proposal,,Under Vote Count,,92,11,0,103
Lake,"Chase Township, Precinct 1",Lake County Emergency Medical Services Millage Proposal,,Ballots Cast,,582,96,0,678
Lake,"Chase Township, Precinct 1",Lake County Emergency Medical Services Millage Proposal,,Yes,,311,57,0,368
Lake,"Chase Township, Precinct 1",Lake County Emergency Medical Services Millage Proposal,,No,,182,29,0,211
Lake,"Chase Township, Precinct 1",Lake County Emergency Medical Services Millage Proposal,,Over Vote Count,,0,0,0,0
Lake,"Chase Township, Precinct 1",Lake County Emergency Medical Services Millage Proposal,,Under Vote Count,,89,10,0,99
Lake,"Cherry Valley Township, Precinct 2",President,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",President,,Kamala D. Harris,Democrat,82,8,0,90
Lake,"Cherry Valley Township, Precinct 2",President,,Donald J. Trump,Republican,166,24,0,190
Lake,"Cherry Valley Township, Precinct 2",President,,Chase Oliver,Libertarian,2,0,0,2
Lake,"Cherry Valley Township, Precinct 2",President,,Jill Stein,Green,4,0,0,4
Lake,"Cherry Valley Township, Precinct 2",President,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",President,,Under Vote Count,,1,0,0,1
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Elissa Slotkin,Democrat,79,8,0,87
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Mike Rogers,Republican,159,24,0,183
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Joseph Solis-Mullen,Libertarian,4,0,0,4
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Dave Stein,U.S. Taxpayers,1,0,0,1
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Douglas P. Marsh,Green,6,0,0,6
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Doug Dern,Natural Law,1,0,0,1
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",U.S. Senate,,Under Vote Count,,5,0,0,5
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Michael Lynch,Democrat,75,8,0,83
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,John R. Moolenaar,Republican,156,23,0,179
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Ben DeJong,Libertarian,6,0,0,6
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Scott Adams,U.S. Taxpayers,7,1,0,8
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",U.S. House,2,Under Vote Count,,11,0,0,11
Lake,"Cherry Valley Township, Precinct 2",State House,101,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",State House,101,Christopher R. Crain,Democrat,75,8,0,83
Lake,"Cherry Valley Township, Precinct 2",State House,101,Joseph D. Fox,Republican,167,24,0,191
Lake,"Cherry Valley Township, Precinct 2",State House,101,Write-in,,1,0,0,1
Lake,"Cherry Valley Township, Precinct 2",State House,101,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",State House,101,Under Vote Count,,12,0,0,12
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Theodore Jones,Democrat,61,8,0,69
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,54,8,0,62
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Tom McMillin,Republican,133,22,0,155
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Nikki Snyder,Republican,132,22,0,154
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Scotty Boman,Libertarian,16,0,0,16
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,4,1,0,5
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,5,1,0,6
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,Working Class,17,2,0,19
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Write-in,,2,0,0,2
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",Member of the State Board of Education,,Under Vote Count,,86,0,0,86
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Denise Ilitch,Democrat,63,8,0,71
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,66,8,0,74
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Carl Meyers,Republican,142,22,0,164
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,Republican,121,22,0,143
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,14,2,0,16
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,12,2,0,14
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",Regent of the University of Michigan,,Under Vote Count,,92,0,0,92
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,70,8,0,78
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,57,8,0,65
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Mike Balow,Republican,133,22,0,155
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Julie Maday,Republican,136,22,0,158
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,Libertarian,9,1,0,10
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,8,2,0,10
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,2,1,0,3
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,Green,4,0,0,4
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",Trustee of Michigan State University,,Under Vote Count,,91,0,0,91
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,Democrat,63,8,0,71
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,Democrat,64,8,0,72
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Michael Busuito,Republican,134,21,0,155
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Sunny Reddy,Republican,125,21,0,146
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Farid Ishac,Libertarian,5,1,0,6
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,2,0,0,2
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Sami Makhoul,Green,3,0,0,3
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,Working Class,12,2,0,14
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,Natural Law,4,1,0,5
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Write-in,,0,1,0,1
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Over Vote Count,,0,0,0,0
Lake,"Cherry Valley Township, Precinct 2",Governor of Wayne State University,,Under Vote Count,,98,1,0,99
Lake,"Cherry Valley Township, Precinct 2",County Prosecuting Attorney,,Ballots Cast,,255,32,0,287
Lake,"Cherry Valley Township, Precinct 2",County Prosecuting Attorney,,Gregory T. Mick,No Party Affiliation,96,14,0,110
Lake,"Cherry Valley Township, Precinct 2",County Prosecuting Attorney,,Al Swanson,No Party Affiliation,65,7,0,72
Lake,"Cherry Valley Township, Precinct 2",County Prosecuting Attorney,,Write-in,,7,0,0,7
Lake,"Cherry Valley Township, Precinct 2",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0
